Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
120,2.5400000e+00,2.0217392e-01,9.0757573e-01,-1.1545516e-02,-1.4605243e-03,2.5730012e-02,2.8239433e-02
121,2.5400000e+00,2.0217392e-01,8.1496978e-01,-1.2746109e-02,-1.6220539e-03,2.2217255e-02,2.5665166e-02
122,2.5400000e+00,2.0217392e-01,7.2236371e-01,-1.5790919e-02,-3.2229552e-03,1.8370003e-02,2.4437627e-02
123,2.5400000e+00,2.0217392e-01,6.2975764e-01,-2.0881984e-02,-4.6461406e-03,1.5993489e-02,2.6710214e-02
124,2.5400000e+00,2.0217392e-01,5.3715158e-01,-2.4467058e-02,-5.8929310e-03,9.8323897e-03,2.7019244e-02
125,2.5400000e+00,2.0217392e-01,4.4454551e-01,-3.3210378e-02,-4.0803510e-03,7.5290077e-03,3.4296714e-02
126,2.5400000e+00,2.0217392e-01,3.5193944e-01,-3.1287331e-02,-2.8183523e-03,5.5197836e-03,3.1895269e-02
127,2.5400000e+00,2.0217392e-01,2.5933337e-01,2.0431108e-03,-7.7468064e-03,-1.0026923e-02,1.2834582e-02
128,2.5400000e+00,2.0217392e-01,1.6672730e-01,3.7214104e-02,3.9703874e-03,-2.4853118e-02,4.4925839e-02
129,2.5400000e+00,2.0217392e-01,7.4121237e-02,7.2832569e-02,2.4925129e-02,-4.4494435e-02,8.8913441e-02
130,2.5400000e+00,2.0217392e-01,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
131,2.5400000e+00,2.0217392e-01,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
132,2.5400000e+00,2.0217392e-01,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
133,2.5400000e+00,2.9347828e-01,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
134,2.5400000e+00,2.9347828e-01,2.6670909e+00,1.3920439e-03,4.2292778e-03,6.2223319e-03,7.6512736e-03
135,2.5400000e+00,2.9347828e-01,2.5744848e+00,-3.4744211e-05,3.6602961e-03,1.1287844e-02,1.1866525e-02
136,2.5400000e+00,2.9347828e-01,2.4818788e+00,2.0507209e-03,3.0133375e-03,1.1230300e-02,1.1807003e-02
137,2.5400000e+00,2.9347828e-01,2.3892727e+00,5.1440746e-03,3.1364700e-03,9.5447777e-03,1.1287238e-02
138,2.5400000e+00,2.9347828e-01,2.2966666e+00,6.1646933e-03,3.3410350e-03,1.0422600e-02,1.2561710e-02
139,2.5400000e+00,2.9347828e-01,2.2040606e+00,4.7279885e-03,4.0490115e-03,1.4338700e-02,1.5631592e-02
140,2.5400000e+00,2.9347828e-01,2.1114545e+00,3.3101891e-03,4.7051297e-03,1.8269341e-02,1.9153705e-02
141,2.5400000e+00,2.9347828e-01,2.0188484e+00,2.6190414e-03,4.4947220e-03,2.2304935e-02,2.2903537e-02
142,2.5400000e+00,2.9347828e-01,1.9262424e+00,1.5727436e-03,4.1160770e-03,2.3764268e-02,2.4169320e-02
143,2.5400000e+00,2.9347828e-01,1.8336363e+00,-1.2823853e-03,3.8101664e-03,2.5853446e-02,2.6164146e-02
144,2.5400000e+00,2.9347828e-01,1.7410303e+00,-2.9713186e-03,3.0958026e-03,2.7857898e-02,2.8186437e-02
