Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
111,8.6923075e-01,2.8900001e+00,2.5744848e+00,-7.2106481e-02,-2.0054802e-02,-3.0923304e-03,7.4907288e-02
112,9.6153843e-01,2.8900001e+00,2.5744848e+00,-7.4760661e-02,-1.9578151e-02,-6.3984655e-05,7.7281721e-02
113,1.0538461e+00,2.8900001e+00,2.5744848e+00,-7.7557877e-02,-2.0558501e-02,2.1438217e-03,8.0265015e-02
114,1.1461538e+00,2.8900001e+00,2.5744848e+00,-8.1106991e-02,-2.2977635e-02,8.2246792e-03,8.4699236e-02
115,1.2384615e+00,2.8900001e+00,2.5744848e+00,-8.3996408e-02,-2.3125544e-02,1.6860990e-02,8.8738270e-02
116,1.3307692e+00,2.8900001e+00,2.5744848e+00,-8.5698612e-02,-2.3536513e-02,2.1850422e-02,9.1518633e-02
117,1.4230769e+00,2.8900001e+00,2.5744848e+00,-8.4093004e-02,-2.5403785e-02,2.3158249e-02,9.0847619e-02
118,1.5153846e+00,2.8900001e+00,2.5744848e+00,-8.1702247e-02,-2.6529584e-02,3.1532694e-02,9.1506213e-02
119,1.6076922e+00,2.8900001e+00,2.5744848e+00,-8.0049954e-02,-2.7458634e-02,4.3951709e-02,9.5361017e-02
120,1.6999999e+00,2.8900001e+00,2.5744848e+00,-7.4433088e-02,-2.9725824e-02,5.3553175e-02,9.6394256e-02
121,1.7923076e+00,2.8900001e+00,2.5744848e+00,-6.2460110e-02,-2.9899240e-02,6.5833040e-02,9.5546946e-02
122,1.8846153e+00,2.8900001e+00,2.5744848e+00,-5.2461572e-02,-3.2176625e-02,8.1093952e-02,1.0180265e-01
123,1.9769229e+00,2.8900001e+00,2.5744848e+00,-4.1378357e-02,-3.7372749e-02,8.8685870e-02,1.0475722e-01
124,2.0692308e+00,2.8900001e+00,2.5744848e+00,-2.2464832e-02,-4.5207977e-02,9.2833810e-02,1.0567188e-01
125,2.1615384e+00,2.8900001e+00,2.5744848e+00,-2.3246389e-03,-4.7524747e-02,9.7023509e-02,1.0806279e-01
126,2.2538462e+00,2.8900001e+00,2.5744848e+00,1.5074833e-02,-4.8067067e-02,9.6011914e-02,1.0842501e-01
127,2.3461537e+00,2.8900001e+00,2.5744848e+00,3.5238035e-02,-4.6700127e-02,9.4606422e-02,1.1123397e-01
128,2.4384615e+00,2.8900001e+00,2.5744848e+00,4.9700342e-02,-4.6866756e-02,8.7296963e-02,1.1084844e-01
129,2.5307691e+00,2.8900001e+00,2.5744848e+00,6.0228702e-02,-4.6381488e-02,6.6791117e-02,1.0119186e-01
130,2.6230769e+00,2.8900001e+00,2.5744848e+00,7.1359880e-02,-4.2374168e-02,5.3066477e-02,9.8508142e-02
131,2.7153845e+00,2.8900001e+00,2.5744848e+00,7.8544639e-02,-3.9537590e-02,3.9754499e-02,9.6503377e-02
132,2.8076923e+00,2.8900001e+00,2.5744848e+00,8.1924349e-02,-3.7744343e-02,2.9925328e-02,9.5035568e-02
