Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
159,16,16,0.277686,0.163303,0.0343982,0.0870694,21.195,0.184643,0.184014,0
160,16,16,0.277672,0.163487,0.0344149,0.0869494,21.195,0.184621,0.183988,0
161,17,17,0.277589,0.163364,0.0340785,0.0869494,21.195,0.181261,0.324719,0
162,17,17,0.27757,0.163332,0.034053,0.0869494,21.195,0.180392,0.337992,0
163,17,17,0.277548,0.163324,0.0340377,0.0869494,21.195,0.179745,0.276847,0
164,17,17,0.277524,0.163316,0.034026,0.0869494,21.195,0.17926,0.214799,0
165,17,17,0.277498,0.163309,0.0340166,0.0869494,21.195,0.178835,0.162107,0
166,17,17,0.277472,0.163304,0.0340088,0.0869494,21.195,0.178469,0.126418,0
167,17,17,0.277447,0.1633,0.034002,0.0869494,21.195,0.17814,0.104301,0
168,17,17,0.277424,0.163296,0.033996,0.0869494,21.195,0.177869,0.0921202,0
169,17,17,0.277403,0.163294,0.0339907,0.0869494,21.195,0.177609,0.0823547,0
170,17,17,0.277405,0.163475,0.0340208,0.0868747,21.195,0.17759,0.0823338,0
171,18,18,0.27731,0.163357,0.0337097,0.0868747,21.195,0.174644,0.0752612,0
172,18,18,0.277286,0.163326,0.0336893,0.0868747,21.195,0.173811,0.0706052,0
173,18,18,0.277264,0.163317,0.0336761,0.0868747,21.195,0.173286,0.0693523,0
174,18,18,0.277241,0.163308,0.0336654,0.0868747,21.195,0.17282,0.0686869,0
175,18,18,0.277217,0.163301,0.0336566,0.0868747,21.195,0.172449,0.0703681,0
176,18,18,0.277194,0.163295,0.033649,0.0868747,21.195,0.172121,0.0722424,0
177,18,18,0.277171,0.16329,0.0336424,0.0868747,21.195,0.171845,0.0745649,0
178,18,18,0.277151,0.163286,0.0336366,0.0868747,21.195,0.171596,0.0772037,0
179,18,18,0.277133,0.163284,0.0336315,0.0868747,21.195,0.171379,0.0768751,0
180,18,18,0.277143,0.163459,0.033667,0.0868256,21.195,0.171363,0.0768575,0
181,19,19,0.277042,0.163348,0.0333794,0.0868256,21.195,0.16869,0.0741374,0
